gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,adresse,latitude,longitude
Klostergade 16,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,"Klostergade 16, 6000 Kolding, danmark",55.4889692,9.4764694
Klostergade 16,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,"Klostergade 16, 6000 Kolding, danmark",55.4889692,9.4764694
Klostergade 16,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,"Klostergade 16, 6000 Kolding, danmark",55.4889692,9.4764694
Klostergade 16,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,"Klostergade 16, 6000 Kolding, danmark",55.4889692,9.4764694
Klostergade 60,6000,Kolding,1,"770 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,770,False,"Klostergade 60, 6000 Kolding, danmark",55.48887449999999,9.477643
Klostergade 60,6000,Kolding,1,"400 l. con, mad - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,"Klostergade 60, 6000 Kolding, danmark",55.48887449999999,9.477643
Klostergade 60,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,"Klostergade 60, 6000 Kolding, danmark",55.48887449999999,9.477643
Klostergade 60,6000,Kolding,1,"770 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,770,False,"Klostergade 60, 6000 Kolding, danmark",55.48887449999999,9.477643
Lilletorv 2,6000,Kolding,1,"660 l. con, rest, med lås","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,True,660,False,"Lilletorv 2, 6000 Kolding, danmark",55.489721,9.474746
Lilletorv 2,6000,Kolding,1,"660 l. con, rest, med lås","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,True,660,False,"Lilletorv 2, 6000 Kolding, danmark",55.489721,9.474746
Lilletorv 2,6000,Kolding,1,"400 l. con, mad, med lås","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,True,400,False,"Lilletorv 2, 6000 Kolding, danmark",55.489721,9.474746
Munkegade 4,6000,Kolding,1,"240 l. beh, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Munkegade 4, 6000 Kolding, danmark",55.489163,9.4779065
Munkegade 4,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"Munkegade 4, 6000 Kolding, danmark",55.489163,9.4779065
Munkegade 4,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,"Munkegade 4, 6000 Kolding, danmark",55.489163,9.4779065
Munkegade 4,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"Munkegade 4, 6000 Kolding, danmark",55.489163,9.4779065
Munkegade 4,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"Munkegade 4, 6000 Kolding, danmark",55.489163,9.4779065
